feature,F_stat,p_value
LP_PLATFORM_COUNT,7006.588331700472,0.0
LP_POOL_COUNT,1136.0962366907188,0.0
UNIQUE_TOKENS,1631.2187431062925,0.0
DAYS_ACTIVE,669.717834247475,2.563679706486249e-279
BORROW_TX_COUNT,635.9431678700367,7.98508005677104e-266
AGE_IN_WEEKS,436.571049068466,5.1723211123855266e-185
LENDING_DEPOSIT_TX_COUNT,226.19681588868016,1.646292570650176e-97
DISTINCT_NFT_COLLECTIONS,126.38018845722522,3.725437217834337e-55
LP_DEPOSIT_COUNT,73.61196861184511,1.5368384250602892e-32
TOTAL_MINTS,69.4470614837602,9.513340709342512e-31
LENDING_DEPOSIT_VOLUME,64.28642772829589,1.5840127476544237e-28
NFT_PURCHASE_VOLUME,40.984254046512454,1.775130933198768e-18
TOTAL_SENT_TO_CONTRACTS,37.010493610221125,9.248767016112001e-17
TOTAL_STAKED,29.462231356336336,1.6974098463166954e-13
TX_PER_WEEK,21.27569285686677,5.931541598488902e-10
BORROW_VOLUME,20.255301332705933,1.6409455407113573e-09
TOTAL_STABLECOIN_SWAPPED_OUT,16.872114320105215,4.794740929548927e-08
NFT_TX_COUNT,11.021036553225109,1.6486885508059688e-05
TOTAL_DISTINCT_CONTRACTS,8.21150975957056,0.00027273310438586946
AVG_TX_VALUE,5.6183726770833475,0.0036381902702575714
STABLECOIN_SENT_VOLUME,2.2074818700126775,0.11001297080889996
