ADDRESS,TOTAL_STAKED,LP_DEPOSIT_VOLUME,LP_DEPOSIT_COUNT,LP_POOL_COUNT,LP_PLATFORM_COUNT,LENDING_DEPOSIT_VOLUME,LENDING_DEPOSIT_TX_COUNT,BORROW_VOLUME,BORROW_TX_COUNT,TOTAL_STABLECOIN_SWAPPED_OUT,NFT_TX_COUNT,NFT_PURCHASE_VOLUME,DISTINCT_NFT_MARKETS,TOTAL_MINTS,DISTINCT_NFT_COLLECTIONS,STABLECOIN_SENT_VOLUME,UNIQUE_TOKENS,TX_PER_WEEK,AVG_TX_VALUE,TOTAL_SENT_TO_CONTRACTS,TOTAL_DISTINCT_CONTRACTS,DAYS_ACTIVE,TENURE_IN_WEEKS,DAYS_SINCE_LAST_SEEN,GOVERNANCE_VOTE_COUNT
0x06025812fde95f375e3ddaf503e8e25e2724d4e2,0,1512.859387724,6,7,2,"null","null","null","null",0,0,0,0,0,0,0,5,22.040541,17.025459901,1430.062157,206,74,13,1,25
0x0238b9bb23af9221488ac4d8c0bda0e08e9d130d,52,228022.02864898,847,278,10,7594.63,49,785.53,3,21884.17,0,0,0,73,1,35833.4,43,221.349515,142.825699217,225734.647770193,1433,103,13,1,3
0x04e20067bc7cfd1bd270c1705d962dcdb7dba5dc,0,28.677257785,2,3,2,"null","null","null","null",2.48,0,0,0,0,0,28.5,2,24.5,7.518571429,19.06,5,2,13,5,6
0x00ff6b7d26407a46af2b631b4fa452a036d027e5,"null","null","null","null","null","null","null","null","null","null",0,0,0,0,0,0,1,7,474.36,0,1,1,6,41,1
0x0c353b5c63e24e5e7a1128d0a318c7b84e9d37a1,0,8902.045325787,19,8,2,"null","null","null","null",0,0,0,0,0,0,0,17,373.978723,17.907046511,42721.763699111,3319,94,13,1,1
0x008eeb180f9fb7190b8f2c0ed1beef92fb2ddf32,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,99998.17,2,15.4,20146.957272727,111219.7,6,5,10,46,2
0x04b88e1255463ef58877388e1e0fa3d457179411,0,2429.633412627,29,8,3,"null","null","null","null",49.04,0,0,0,0,0,45,5,29.75,80.162941176,2433.25,29,20,13,4,6
0x03000a0ecb1898040c26cd418570cd480775f0da,0,373.668623852,4,5,3,"null","null","null","null",167.18,0,0,0,0,0,360.79,2,21,74.798888889,401.07,7,3,5,39,6
0x0393c89103718ecbcef016668e4d510c6d36aa29,0,630.012581549,9,14,4,"null","null","null","null",44.16,0,0,0,3,1,0,18,62.78125,67.553090758,10656.468,400,64,13,1,1
0x077c6a6d88cc00b626bb833a7da21a4c7b08c2ef,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,0,3,31.208333,310.764766355,7961.61,44,24,12,6,1
0x08f98a9292c68620cbe76fdf4003b26366c392a6,0,6325.911571627,36,40,8,27.43,1,"null","null",186.53,12,1185.425250093,1,20,11,0,15,20.017544,396.236319018,25934.79,99,57,13,2,11
0x09e9c8440b506f233041d8e7d0bbe6a47c773f39,0,"null","null","null","null","null","null","null","null",0,0,0,0,0,0,369.78,11,17.684211,198.991041667,1636.8,12,19,13,5,1
0x035b30f00459f6a8a96e56bc248d0c60bdebab99,"null",58.655781632,1,2,2,"null","null","null","null",58.65,0,0,0,0,0,29.21,1,7,29.21,29.21,1,1,7,50,1
